country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
USA,39.58935,-75.63398,303.09,0.44,0.46,2025-07-11,625,N21,VIIRS,n,2.0NRT,292.03,1.71,N
USA,39.93805,-76.81732,307.93,0.51,0.49,2025-07-11,625,N21,VIIRS,n,2.0NRT,290.57,0.95,N
USA,39.93913,-76.81604,305.92,0.51,0.49,2025-07-11,625,N21,VIIRS,n,2.0NRT,290.59,1.76,N
USA,40.30354,-79.87755,310.03,0.37,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,291.13,2.11,N
USA,40.31167,-80.60587,305.3,0.41,0.61,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.39,1.25,N
USA,40.31188,-80.61069,304.93,0.41,0.61,2025-07-11,625,N21,VIIRS,n,2.0NRT,287.63,1.25,N
USA,40.34253,-79.90004,311.9,0.38,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,289.67,1.48,N
USA,40.34531,-79.90137,303.78,0.38,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,289.43,1.33,N
USA,40.39125,-79.84935,308.87,0.37,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,289.69,2.66,N
USA,40.39149,-79.85393,324.27,0.37,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,290.27,2.66,N
USA,40.39172,-79.85835,324.33,0.37,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,291.29,4.55,N
USA,40.39708,-79.85767,310.61,0.37,0.58,2025-07-11,625,N21,VIIRS,n,2.0NRT,289.93,1.94,N
USA,40.47265,-75.89452,303.35,0.46,0.47,2025-07-11,625,N21,VIIRS,n,2.0NRT,291.95,1.07,N
USA,40.62412,-84.88496,300.21,0.7,0.75,2025-07-11,625,N21,VIIRS,n,2.0NRT,278.34,2.47,N
USA,40.62413,-84.87943,300.15,0.7,0.75,2025-07-11,625,N21,VIIRS,n,2.0NRT,278.01,1.89,N
USA,40.75338,-81.43383,298.99,0.46,0.63,2025-07-11,625,N21,VIIRS,n,2.0NRT,273.78,0.81,N
USA,40.89237,-77.7122,320.39,0.58,0.52,2025-07-11,625,N21,VIIRS,n,2.0NRT,287.41,2.86,N
USA,41.3424,-74.91405,304.86,0.42,0.45,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.61,1.12,N
USA,41.4492,-81.6767,325.59,0.48,0.64,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.75,3.32,N
USA,41.45514,-81.67646,314.81,0.48,0.64,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.09,1.86,N
USA,41.46109,-81.67622,307.36,0.48,0.64,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.82,1.86,N
USA,41.46441,-81.67509,307.46,0.48,0.65,2025-07-11,625,N21,VIIRS,n,2.0NRT,288.02,1.69,N
USA,41.56953,-84.04913,309.72,0.64,0.72,2025-07-11,625,N21,VIIRS,n,2.0NRT,281.68,4.81,N
USA,42.29095,-83.1675,295.53,0.58,0.7,2025-07-11,625,N21,VIIRS,n,2.0NRT,260.99,2.62,N
USA,42.92224,-76.83337,300.91,0.55,0.51,2025-07-11,625,N21,VIIRS,n,2.0NRT,289.98,0.47,N
USA,43.08315,-77.38033,300.69,0.59,0.53,2025-07-11,625,N21,VIIRS,n,2.0NRT,290.13,1.13,N
USA,33.01228,-79.88719,318.9,0.32,0.54,2025-07-11,627,N21,VIIRS,n,2.0NRT,280.46,2.9,N
USA,35.34256,-80.82945,301.25,0.38,0.59,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.75,0.67,N
USA,35.50456,-80.32979,307.84,0.36,0.57,2025-07-11,627,N21,VIIRS,n,2.0NRT,288.13,0.76,N
USA,35.70339,-81.17828,302.36,0.4,0.6,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.36,0.56,N
USA,35.89571,-81.05291,320.07,0.4,0.6,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.51,2.9,N
USA,35.89597,-81.05722,306.11,0.4,0.6,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.18,2.57,N
USA,35.89603,-81.05339,325.57,0.4,0.6,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.63,3.36,N
USA,36.14365,-83.32695,299.16,0.54,0.68,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.22,0.63,N
USA,36.84835,-84.1168,301.59,0.61,0.71,2025-07-11,627,N21,VIIRS,n,2.0NRT,286.93,1.03,N
USA,36.84866,-84.11566,301.64,0.61,0.71,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.07,0.96,N
USA,37.23044,-82.03854,303.31,0.47,0.64,2025-07-11,627,N21,VIIRS,n,2.0NRT,288.1,2.74,N
USA,37.27018,-79.99902,302.12,0.36,0.57,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.14,1.02,N
USA,38.37966,-82.59641,301.57,0.51,0.66,2025-07-11,627,N21,VIIRS,n,2.0NRT,289.76,2.26,N
USA,38.49102,-81.41646,304.34,0.44,0.62,2025-07-11,627,N21,VIIRS,n,2.0NRT,288.36,1.11,N
USA,38.49126,-81.42175,301.58,0.44,0.62,2025-07-11,627,N21,VIIRS,n,2.0NRT,288.18,1.11,N
USA,38.58024,-85.41408,301.92,0.73,0.76,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.15,1.71,N
USA,38.59668,-82.82484,304.34,0.53,0.67,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.78,1.44,N
USA,38.59687,-82.83091,305.51,0.53,0.67,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.93,1.44,N
USA,38.59752,-82.82592,306.5,0.53,0.67,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.77,2.14,N
USA,38.59774,-82.83201,305.08,0.53,0.67,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.82,1.9,N
USA,38.76108,-85.0006,308.5,0.7,0.75,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.84,2.86,N
USA,38.77656,-79.39315,299.44,0.34,0.56,2025-07-11,627,N21,VIIRS,n,2.0NRT,287.49,0.72,N
USA,38.83329,-84.23869,298.29,0.63,0.72,2025-07-11,627,N21,VIIRS,n,2.0NRT,277.1,2.53,N
USA,38.83576,-84.24141,307.47,0.63,0.72,2025-07-11,627,N21,VIIRS,n,2.0NRT,276.87,2.52,N
USA,39.30261,-81.56944,301.67,0.46,0.63,2025-07-11,627,N21,VIIRS,n,2.0NRT,289.59,0.97,N
USA,39.46531,-84.38438,308.15,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.02,3.55,N
USA,39.46894,-84.38734,315.74,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.43,3.1,N
USA,39.46924,-84.40244,304.4,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.89,2.95,N
USA,39.47225,-84.39953,302.68,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.63,2.02,N
USA,39.48507,-84.36134,303.37,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.43,1.54,N
USA,39.48857,-84.36423,303.08,0.65,0.73,2025-07-11,627,N21,VIIRS,n,2.0NRT,290.32,2.18,N
USA,39.68637,-80.38311,302.53,0.39,0.6,2025-07-11,627,N21,VIIRS,n,2.0NRT,289.12,0.66,N
USA,26.27999,-80.15561,310.04,0.56,0.51,2025-07-11,629,N21,VIIRS,n,2.0NRT,289.52,2.09,N
USA,26.33185,-80.69826,308.99,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.48,1.83,N
USA,26.3341,-80.72232,336.06,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.97,9.25,N
USA,26.33673,-80.69769,320.5,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.8,2.61,N
USA,26.3416,-80.69711,312.7,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.76,2.61,N
USA,26.34591,-80.69054,313.28,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.15,2.48,N
USA,26.34648,-80.69655,303.03,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.46,2.78,N
USA,26.35079,-80.68997,312.54,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.13,2.48,N
USA,26.35136,-80.69598,313.81,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.62,2.78,N
USA,26.35623,-80.69542,323.52,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.69,2.68,N
USA,26.36111,-80.69485,302.5,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.22,2.68,N
USA,26.36656,-80.70031,304.64,0.6,0.53,2025-07-11,629,N21,VIIRS,n,2.0NRT,290.1,0.92,N
USA,28.07307,-82.16698,301.54,0.39,0.59,2025-07-11,629,N21,VIIRS,n,2.0NRT,286.19,0.46,N
USA,28.55099,-82.44212,297.56,0.41,0.61,2025-07-11,629,N21,VIIRS,n,2.0NRT,271.58,0.38,N
USA,28.67004,-82.04699,302.66,0.39,0.59,2025-07-11,629,N21,VIIRS,n,2.0NRT,276.55,1.36,N
USA,28.67172,-82.04765,308.36,0.39,0.59,2025-07-11,629,N21,VIIRS,n,2.0NRT,277.29,1.95,N
USA,28.67747,-82.05113,314.64,0.39,0.59,2025-07-11,629,N21,VIIRS,n,2.0NRT,276.51,1.95,N
USA,28.67776,-82.05512,299.42,0.39,0.59,2025-07-11,629,N21,VIIRS,n,2.0NRT,276.47,2.36,N
USA,31.09772,-84.09264,307.42,0.55,0.68,2025-07-11,629,N21,VIIRS,n,2.0NRT,287.89,2,N
USA,31.09992,-84.0934,314.22,0.55,0.68,2025-07-11,629,N21,VIIRS,n,2.0NRT,287.77,2.51,N
USA,25.61695,-80.72487,305.79,0.59,0.53,2025-07-11,631,N21,VIIRS,n,2.0NRT,283.82,6.83,N
USA,25.61753,-80.73075,337.29,0.59,0.53,2025-07-11,631,N21,VIIRS,n,2.0NRT,285.65,6.83,N
USA,25.65777,-80.64851,304.7,0.59,0.53,2025-07-11,631,N21,VIIRS,n,2.0NRT,285.18,0.8,N
USA,25.65828,-80.64909,304.02,0.59,0.53,2025-07-11,631,N21,VIIRS,n,2.0NRT,284.8,1.63,N
USA,25.86009,-80.34394,306.62,0.56,0.52,2025-07-11,631,N21,VIIRS,n,2.0NRT,289.25,2.32,N
USA,40.63382,-74.22816,298.27,0.79,0.78,2025-07-11,805,N21,VIIRS,n,2.0NRT,288.07,5.36,N
USA,45.07095,-83.40601,325.49,0.43,0.46,2025-07-11,805,N21,VIIRS,n,2.0NRT,292.38,3.29,N
USA,45.31608,-85.29839,304.56,0.53,0.42,2025-07-11,805,N21,VIIRS,n,2.0NRT,289.42,1.19,N
USA,45.86425,-94.7976,300.82,0.43,0.38,2025-07-11,805,N21,VIIRS,n,2.0NRT,283.56,0.52,N
