country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
USA,42.40992,-74.18213,298.29,0.44,0.39,2025-07-21,637,N21,VIIRS,n,2.0NRT,287.51,0.54,N
USA,42.46919,-75.21981,303.02,0.48,0.4,2025-07-21,637,N21,VIIRS,n,2.0NRT,286.24,0.72,N
USA,42.53436,-71.84898,299.18,0.39,0.36,2025-07-21,637,N21,VIIRS,n,2.0NRT,287.78,0.5,N
USA,42.76131,-82.74776,302.73,0.38,0.59,2025-07-21,637,N21,VIIRS,n,2.0NRT,287,0.89,N
USA,42.76374,-82.75006,301.78,0.38,0.59,2025-07-21,637,N21,VIIRS,n,2.0NRT,286.39,1.16,N
USA,42.77324,-82.48416,303.91,0.37,0.58,2025-07-21,637,N21,VIIRS,n,2.0NRT,286.9,0.69,N
USA,42.90133,-75.85184,297.61,0.52,0.41,2025-07-21,637,N21,VIIRS,n,2.0NRT,285.81,0.92,N
USA,43.03464,-72.67258,315.84,0.41,0.37,2025-07-21,637,N21,VIIRS,n,2.0NRT,287.27,1.92,N
USA,43.03804,-72.67185,316.66,0.41,0.37,2025-07-21,637,N21,VIIRS,n,2.0NRT,287.76,1.72,N
USA,43.07986,-77.38004,305.74,0.41,0.45,2025-07-21,637,N21,VIIRS,n,2.0NRT,288.57,0.58,N
USA,43.19225,-76.95661,303.42,0.39,0.44,2025-07-21,637,N21,VIIRS,n,2.0NRT,288.44,0.38,N
USA,45.97346,-85.87659,297.18,0.57,0.69,2025-07-21,637,N21,VIIRS,n,2.0NRT,282.71,0.97,N
USA,45.97527,-85.87685,296.91,0.57,0.69,2025-07-21,637,N21,VIIRS,n,2.0NRT,282.31,1.11,N
USA,46.51543,-84.39436,296.08,0.48,0.65,2025-07-21,637,N21,VIIRS,n,2.0NRT,282.77,1.25,N
USA,46.52094,-84.36871,305.24,0.48,0.65,2025-07-21,637,N21,VIIRS,n,2.0NRT,281.88,2.34,N
USA,46.52106,-84.3751,298.95,0.48,0.65,2025-07-21,637,N21,VIIRS,n,2.0NRT,282.77,1.4,N
USA,34.91397,-80.69585,337.76,0.49,0.48,2025-07-21,640,N21,VIIRS,n,2.0NRT,290.66,7.16,N
USA,34.95647,-79.47879,304.79,0.42,0.45,2025-07-21,640,N21,VIIRS,n,2.0NRT,285.72,0.95,N
USA,34.95694,-79.48341,306.43,0.42,0.45,2025-07-21,640,N21,VIIRS,n,2.0NRT,285.34,0.95,N
USA,34.96061,-79.47817,306.72,0.42,0.45,2025-07-21,640,N21,VIIRS,n,2.0NRT,285.04,1.45,N
USA,35.50381,-80.32829,307.41,0.47,0.48,2025-07-21,640,N21,VIIRS,n,2.0NRT,291.42,1.64,N
USA,35.50431,-80.33347,306.25,0.47,0.48,2025-07-21,640,N21,VIIRS,n,2.0NRT,291.78,1.64,N
USA,35.50459,-80.33158,315.92,0.47,0.48,2025-07-21,640,N21,VIIRS,n,2.0NRT,292.12,2.58,N
USA,35.977,-83.95599,310.37,0.38,0.59,2025-07-21,640,N21,VIIRS,n,2.0NRT,289.03,1.12,N
USA,35.97724,-83.96026,303.11,0.38,0.59,2025-07-21,640,N21,VIIRS,n,2.0NRT,288.8,1.12,N
USA,35.98063,-83.95808,312.9,0.38,0.59,2025-07-21,640,N21,VIIRS,n,2.0NRT,288.83,1.62,N
USA,36.35547,-76.80502,330.37,0.48,0.4,2025-07-21,640,N21,VIIRS,n,2.0NRT,293.92,5.18,N
USA,36.35611,-76.8104,310.14,0.48,0.4,2025-07-21,640,N21,VIIRS,n,2.0NRT,293.59,5.18,N
USA,36.5155,-81.37135,308.1,0.55,0.51,2025-07-21,640,N21,VIIRS,n,2.0NRT,287.92,1.72,N
USA,39.42171,-74.5421,306.97,0.43,0.38,2025-07-21,640,N21,VIIRS,n,2.0NRT,290.91,0.77,N
USA,39.48074,-84.37685,295.08,0.43,0.62,2025-07-21,640,N21,VIIRS,n,2.0NRT,275.19,1.16,N
